Date,Cases,Deaths
2022-09-22,7103981,81077
2022-09-23,7106653,81139
2022-09-24,7106653,81139
2022-09-25,7106653,81139
2022-09-26,7111541,81260
2022-09-27,7114122,81261
2022-09-28,7116097,81308
2022-09-29,7117429,81369
2021-11-30,3691420,61548
2022-10-01,7118498,81416
2022-10-02,7118498,81416
2022-10-03,7122146,81454
2022-10-04,7123858,81464
2022-10-05,7125785,81533
2022-10-06,7127263,81606
2022-10-07,7129245,81661
2022-10-08,7129245,81661
2022-10-09,7129245,81661
2020-03-10,23,2
2020-03-11,26,2
2020-03-12,46,2
2020-03-13,70,2
2020-03-14,70,3
2020-03-15,109,3
2022-11-01,7149300,82176
2020-03-16,141,4
2022-11-02,7149300,82176
2020-03-17,210,6
2022-11-03,7149300,82176
2020-03-18,326,7
2022-11-04,7172457,82541
2020-03-19,434,8
2022-11-05,7172457,82541
2022-11-06,7172457,82541
2022-11-07,7172457,82541
2022-11-08,7172457,82541
2022-11-09,7172457,82541
2021-03-20,2004354,32712
2021-03-21,2008341,32741
2020-04-10,17960,418
2020-08-10,536953,8276
2021-03-22,2011203,32778
2020-04-11,18978,445
2020-08-11,542784,8552
2021-03-23,2016505,32819
2020-04-12,19855,460
2020-08-12,550893,8764
2021-03-24,2021648,32849
2020-04-13,21011,498
2020-08-13,557129,8912
2021-03-25,2027421,32956
2020-04-14,21620,570
2020-08-14,563277,9140
2021-03-26,2033171,33115
2020-04-15,22526,613
2020-08-15,569629,9344
2022-12-01,7195943,82875
2021-03-27,2039054,33141
2020-04-16,23332,667
2020-08-16,573408,9451
2022-12-02,7226875,83100
2021-03-28,2043997,33177
2020-04-17,24745,725
2020-08-17,576086,9538
2022-12-03,7226875,83100
2021-03-29,2047371,33246
2020-04-18,25484,747
2020-08-18,579924,9757
2022-12-04,7226875,83100
2020-04-19,26306,773
2020-08-19,584039,9931
2022-12-05,7226875,83100
2022-12-06,7226875,83100
2022-12-07,7226875,83100
2022-12-08,7226875,83100
2022-12-09,7226875,83200
2021-04-20,2178775,34532
2021-04-21,2184346,34615
2020-05-10,40588,1720
2020-09-10,654723,12325
2021-04-22,2191030,34695
2020-05-11,40974,1734
2020-09-11,658373,12501
